frame,gpu_frame_ms,reset_ms,reset_barrier_ms,compute_ms,metrics_copy_ms,render_ms,edges,vertices,edges_per_ms,vertices_per_ms,q1_enq_ok,q1_enq_cas_fail,q1_enq_full,q1_deq_ok,q1_deq_cas_fail,q1_deq_empty,q1_ready_cas_fail,q1_ready_max_spin,q1_high_water,q1_deq_batches,q1_deq_batch_slots,q1_deq_batch_cas_attempts,q1_deq_batch_cas_fail,q1_deq_batch_empty,q1_deq_batch_partial,q1_deq_slots_per_batch,q1_deq_batch_enabled,q2_enq_ok,q2_enq_cas_fail,q2_enq_full,q2_deq_ok,q2_deq_cas_fail,q2_deq_empty,q2_ready_cas_fail,q2_ready_max_spin,q2_high_water,q2_deq_batches,q2_deq_batch_slots,q2_deq_batch_cas_attempts,q2_deq_batch_cas_fail,q2_deq_batch_empty,q2_deq_batch_partial,q2_deq_slots_per_batch,q2_deq_batch_enabled,node_a_seed,node_b_tasks,node_b_subdivide,node_b_final,node_c_output,stop_writes
1,42.4297,0.0152,0.0076,42.3469,0.0274,0.0326,196608,393216,4642.7974,9285.5947,262143,36428066,0,262143,103752,237216,165704,287,97002,15724,262143,112052,103752,7413,131,16.6715,1,196608,35458761,0,196608,254676,13404128,42341921,512,820,453725,196608,289513,254676,418879,30598,0.4333,1,3,262143,65535,196608,196608,1
2,34.2187,0.0081,0.0074,34.1491,0.0232,0.0308,196608,393216,5757.3374,11514.6748,262143,33969523,0,262143,113549,231552,182447,222,87828,15551,262143,121846,113549,7236,132,16.8570,1,196608,33099291,0,196608,251871,12121312,39635272,513,804,413816,196608,286889,251871,378791,31034,0.4751,1,3,262143,65535,196608,196608,1
3,33.2778,0.0081,0.0074,33.2098,0.0243,0.0283,196608,393216,5920.1875,11840.3750,262143,32573825,0,262143,111590,219584,138967,164,80907,15183,262143,119890,111590,6862,132,17.2656,1,196608,32033679,0,196608,235256,10964512,40252489,590,749,376623,196608,269230,235256,342641,30013,0.5220,1,3,262143,65535,196608,196608,1
4,34.4787,0.0081,0.0074,34.4238,0.0136,0.0258,196608,393216,5711.3970,11422.7939,262143,35114662,0,262143,106275,225696,186824,240,91548,15374,262143,114578,106275,7053,139,17.0511,1,196608,34267459,0,196608,248364,12696544,42111989,514,723,430156,196608,281744,248364,396767,29187,0.4571,1,3,262143,65535,196608,196608,1
5,33.2382,0.0082,0.0073,33.1745,0.0227,0.0256,196608,393216,5926.4834,11852.9668,262143,32475385,0,262143,112694,215936,179857,216,79177,15059,262143,120990,112694,6748,130,17.4077,1,196608,31345438,0,196608,239003,10582240,38438151,547,771,365758,196608,274060,239003,330695,31289,0.5375,1,3,262143,65535,196608,196608,1
6,33.8348,0.0082,0.0073,33.7722,0.0220,0.0251,196608,393216,5821.5859,11643.1719,262143,33403499,0,262143,106550,237408,114687,189,85287,15748,262143,114855,106550,7419,144,16.6461,1,196608,33378816,0,196608,238057,11640800,41663475,533,879,398135,196608,272415,238057,363775,30279,0.4938,1,3,262143,65535,196608,196608,1
