frame,gpu_frame_ms,reset_ms,reset_barrier_ms,compute_ms,metrics_copy_ms,render_ms,edges,vertices,edges_per_ms,vertices_per_ms,q1_enq_ok,q1_enq_cas_fail,q1_enq_full,q1_deq_ok,q1_deq_cas_fail,q1_deq_empty,q1_ready_cas_fail,q1_ready_max_spin,q1_high_water,q1_deq_batches,q1_deq_batch_slots,q1_deq_batch_cas_attempts,q1_deq_batch_cas_fail,q1_deq_batch_empty,q1_deq_batch_partial,q1_deq_slots_per_batch,q1_deq_batch_enabled,q2_enq_ok,q2_enq_cas_fail,q2_enq_full,q2_deq_ok,q2_deq_cas_fail,q2_deq_empty,q2_ready_cas_fail,q2_ready_max_spin,q2_high_water,node_a_seed,node_b_tasks,node_b_subdivide,node_b_final,node_c_output,stop_writes
1,42.6102,0.0122,0.0078,42.5412,0.0229,0.0262,196608,393216,4621.5947,9243.1895,262143,28279936,0,262143,136246,8175584,98205,176,72933,263823,262143,144556,136246,255487,149,0.9936,1,196608,7119117,0,196608,17768864,18083840,1130596,125,14910,3,262143,65535,196608,196608,1
2,36.6854,0.0080,0.0074,36.6178,0.0234,0.0288,196608,393216,5369.1919,10738.3838,262143,29236096,0,262143,133831,10745504,202110,221,71387,344134,262143,142139,133831,335797,145,0.7617,1,196608,7555790,0,196608,18626336,17432832,1302096,190,19900,3,262143,65535,196608,196608,1
3,36.3366,0.0081,0.0073,36.2829,0.0091,0.0292,196608,393216,5418.7539,10837.5078,262143,28760554,0,262143,138909,12618880,158371,188,72639,402675,262143,147223,138909,394340,146,0.6510,1,196608,7724386,0,196608,18056064,18363200,1081129,133,22240,3,262143,65535,196608,196608,1
