frame,gpu_frame_ms,reset_ms,reset_barrier_ms,compute_ms,metrics_copy_ms,render_ms,edges,vertices,edges_per_ms,vertices_per_ms,q1_enq_ok,q1_enq_cas_fail,q1_enq_full,q1_deq_ok,q1_deq_cas_fail,q1_deq_empty,q1_ready_cas_fail,q1_ready_max_spin,q1_high_water,q1_deq_batches,q1_deq_batch_slots,q1_deq_batch_cas_attempts,q1_deq_batch_cas_fail,q1_deq_batch_empty,q1_deq_batch_partial,q1_deq_slots_per_batch,q1_deq_batch_enabled,q2_enq_ok,q2_enq_cas_fail,q2_enq_full,q2_deq_ok,q2_deq_cas_fail,q2_deq_empty,q2_ready_cas_fail,q2_ready_max_spin,q2_high_water,q2_deq_batches,q2_deq_batch_slots,q2_deq_batch_cas_attempts,q2_deq_batch_cas_fail,q2_deq_batch_empty,q2_deq_batch_partial,q2_deq_slots_per_batch,q2_deq_batch_enabled,q2_deq_batch_limit,node_a_seed,node_b_tasks,node_b_subdivide,node_b_final,node_c_output,stop_writes
1,38.6518,0.0146,0.0076,38.5704,0.0261,0.0331,196608,393216,5097.3804,10194.7607,262143,28956617,0,262143,103712,4350368,169223,311,88255,144234,262143,111989,103712,135949,103,1.8175,1,196608,6250887,0,196608,25760288,72976224,1415240,162,11987,0,0,0,0,0,0,0.0000,0,32,3,262143,65535,196608,196608,1
2,30.1128,0.0081,0.0073,30.0455,0.0243,0.0276,196608,393216,6543.6709,13087.3418,262143,27093962,0,262143,111031,2320704,109770,185,77434,80804,262143,119308,111031,72522,105,3.2442,1,196608,6149652,0,196608,25299744,64706624,1813503,179,6316,0,0,0,0,0,0,0.0000,0,32,3,262143,65535,196608,196608,1
3,31.3010,0.0081,0.0074,31.2368,0.0220,0.0266,196608,393216,6294.1069,12588.2139,262143,28753099,0,262143,102379,3845728,157986,235,89899,128472,262143,110658,102379,120179,108,2.0405,1,196608,6568249,0,196608,25792352,74529344,1388028,192,10687,0,0,0,0,0,0,0.0000,0,32,3,262143,65535,196608,196608,1
4,30.4363,0.0080,0.0074,30.3800,0.0133,0.0275,196608,393216,6471.6177,12943.2354,262143,29384318,0,262143,108428,2847104,94716,145,85689,97264,262143,116710,108428,88972,113,2.6952,1,196608,6100291,0,196608,24446048,71374176,1558940,156,7841,0,0,0,0,0,0,0.0000,0,32,3,262143,65535,196608,196608,1
5,31.1213,0.0080,0.0074,31.0578,0.0220,0.0261,196608,393216,6330.3984,12660.7969,262143,29604921,0,262143,103232,3727712,113981,154,90113,124788,262143,111514,103232,116491,108,2.1007,1,196608,6458676,0,196608,25386688,74316896,1363873,213,10364,0,0,0,0,0,0,0.0000,0,32,3,262143,65535,196608,196608,1
6,31.0864,0.0080,0.0074,31.0222,0.0220,0.0268,196608,393216,6337.6470,12675.2939,262143,29380750,0,262143,103962,3931008,141643,243,86370,131136,262143,112241,103962,122844,109,1.9990,1,196608,6014552,0,196608,25252672,72605504,1458373,205,10860,0,0,0,0,0,0,0.0000,0,32,3,262143,65535,196608,196608,1
