WG_METRICS_HEADER frame,q1_shards,q1_shard_capacity,gpu_frame_ms,reset_ms,reset_barrier_ms,compute_ms,metrics_copy_ms,render_ms,edges,vertices,edges_per_ms,vertices_per_ms,q1_deq_attempt_mean,q1_deq_attempt_max,q1_deq_attempt_imbalance,q1_deq_cas_fail_mean,q1_deq_cas_fail_max,q1_deq_probe_mean,q1_deq_probe_max,q1_deq_probe_imbalance,q1_enq_attempt_mean,q1_enq_attempt_max,q1_enq_attempt_imbalance,q1_high_water_mean,q1_high_water_max,q1_enq_ok,q1_enq_cas_fail,q1_enq_full,q1_deq_ok,q1_deq_cas_fail,q1_deq_empty,q1_ready_cas_fail,q1_ready_max_spin,q1_high_water,q2_enq_ok,q2_enq_cas_fail,q2_enq_full,q2_deq_ok,q2_deq_cas_fail,q2_deq_empty,q2_ready_cas_fail,q2_ready_max_spin,q2_high_water,node_a_seed,node_b_tasks,node_b_subdivide,node_b_final,node_c_output,stop_writes
WG_METRICS 1,16,12288,29.4158,0.0147,0.0076,29.3365,0.0272,0.0298,196608,393216,6701.8174,13403.6348,598957.0000,618428,1.0325,582573.0625,601744,5407147.5000,5415495,1.0015,36958.3125,37794,1.0226,6658.5000,7106,262143,329190,0,262143,9321169,76931051,83,5,106536,196608,9349437,0,196608,50179104,3610336,18133,20,53182,3,262143,65535,196608,196608,1
WG_METRICS 2,16,12288,22.9530,0.0082,0.0075,22.8930,0.0145,0.0299,196608,393216,8588.1426,17176.2852,609529.2500,628621,1.0313,593145.3125,612032,5774012.0000,5784695,1.0019,36838.2500,37414,1.0156,6968.8750,7175,262143,327269,0,262143,9490325,82631720,111,7,111502,196608,9527744,0,196608,51694112,3019904,25485,21,56894,3,262143,65535,196608,196608,1
WG_METRICS 3,16,12288,22.4164,0.0082,0.0074,22.3494,0.0217,0.0298,196608,393216,8797.0303,17594.0605,603173.6250,628274,1.0416,586789.6875,611586,5380883.5000,5389263,1.0016,37924.6250,38898,1.0257,7041.8125,7475,262143,344651,0,262143,9388635,76443355,53,6,112669,196608,9369279,0,196608,49932608,3663776,18142,23,52800,3,262143,65535,196608,196608,1
WG_METRICS 4,16,12288,21.9657,0.0082,0.0074,21.9109,0.0139,0.0254,196608,393216,8973.0605,17946.1211,599689.1250,612939,1.0221,583305.1875,596374,5155920.5000,5166830,1.0021,35522.3125,36350,1.0233,6607.8125,6937,262143,306214,0,262143,9332883,72899702,81,8,105725,196608,9149444,0,196608,49384160,2786528,25745,18,50546,3,262143,65535,196608,196608,1
WG_METRICS 5,16,12288,22.6790,0.0082,0.0074,22.6129,0.0222,0.0283,196608,393216,8694.5137,17389.0273,601900.6875,613852,1.0199,585516.7500,597110,5485098.5000,5496265,1.0020,36399.5625,37433,1.0284,6667.3125,7002,262143,320250,0,262143,9368268,78131162,63,5,106677,196608,9451401,0,196608,50726304,3181344,22149,17,53934,3,262143,65535,196608,196608,1
WG_METRICS 6,16,12288,22.4670,0.0081,0.0075,22.4007,0.0220,0.0287,196608,393216,8776.8604,17553.7207,607525.2500,627493,1.0329,591141.3125,610897,5284958.5000,5293126,1.0015,38109.3125,39227,1.0293,7181.9375,7494,262143,347606,0,262143,9458261,74838933,87,8,114911,196608,9495192,0,196608,49778400,3482656,32278,26,51744,3,262143,65535,196608,196608,1
