"timestamp","phase","elapsed_sec","query_result","adapterIndex","workgraph_pid","CLK_GFXCLK_supported","CLK_GFXCLK","CLK_MEMCLK_supported","CLK_MEMCLK","CLK_SOCCLK_supported","CLK_SOCCLK","TEMP_EDGE_supported","TEMP_EDGE","TEMP_MEM_supported","TEMP_MEM","ACTIVITY_GFX_supported","ACTIVITY_GFX","ACTIVITY_MEM_supported","ACTIVITY_MEM","GFX_VOLTAGE_supported","GFX_VOLTAGE","ASIC_POWER_supported","ASIC_POWER","TEMP_HOTSPOT_supported","TEMP_HOTSPOT","TEMP_GFX_supported","TEMP_GFX","TEMP_SOC_supported","TEMP_SOC","GFX_POWER_supported","GFX_POWER","GFX_CURRENT_supported","GFX_CURRENT","THROTTLER_STATUS_supported","THROTTLER_STATUS","BUS_SPEED_supported","BUS_SPEED","BUS_LANES_supported","BUS_LANES","THROTTLE_POWER_supported","THROTTLE_POWER","THROTTLE_TDC_supported","THROTTLE_TDC","THROTTLE_VMAX_supported","THROTTLE_VMAX","BUS_CURR_MAX_SPEED_supported","BUS_CURR_MAX_SPEED","BOARD_POWER_supported","BOARD_POWER"
"2026-05-28T21:10:28.3867098+08:00","during_workgraph","2.309","0","5","32836","1","0","1","13","0","0","1","36","1","38","1","0","1","0","1","60","0","0","1","43","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","9"
"2026-05-28T21:10:28.4552761+08:00","during_workgraph","2.378","0","5","32836","1","47","1","54","0","0","1","36","1","38","1","6","1","0","1","322","0","0","1","43","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","15"
"2026-05-28T21:10:28.5319244+08:00","during_workgraph","2.456","0","5","32836","1","1448","1","129","0","0","1","36","1","39","1","19","1","0","1","703","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","26"
"2026-05-28T21:10:28.5925624+08:00","during_workgraph","2.516","0","5","32836","1","1553","1","190","0","0","1","36","1","38","1","55","1","4","1","720","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","37"
"2026-05-28T21:10:28.6535624+08:00","during_workgraph","2.577","0","5","32836","1","1495","1","185","0","0","1","36","1","40","1","46","1","4","1","712","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","36"
"2026-05-28T21:10:28.7155645+08:00","during_workgraph","2.639","0","5","32836","1","1492","1","179","0","0","1","36","1","40","1","44","1","4","1","708","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","34"
"2026-05-28T21:10:28.7790697+08:00","during_workgraph","2.703","0","5","32836","1","1512","1","189","0","0","1","36","1","40","1","46","1","4","1","711","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","35"
"2026-05-28T21:10:28.8421638+08:00","during_workgraph","2.766","0","5","32836","1","1498","1","183","0","0","1","36","1","40","1","45","1","4","1","712","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","35"
"2026-05-28T21:10:28.9061683+08:00","during_workgraph","2.83","0","5","32836","1","1488","1","176","0","0","1","36","1","40","1","45","1","4","1","710","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","35"
"2026-05-28T21:10:28.9701694+08:00","during_workgraph","2.894","0","5","32836","1","1497","1","187","0","0","1","36","1","40","1","43","1","4","1","711","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","34"
"2026-05-28T21:10:29.0331682+08:00","during_workgraph","2.957","0","5","32836","1","1495","1","180","0","0","1","36","1","40","1","46","1","4","1","713","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","36"
"2026-05-28T21:10:29.0961677+08:00","during_workgraph","3.02","0","5","32836","1","1494","1","179","0","0","1","36","1","40","1","48","1","4","1","710","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","35"
"2026-05-28T21:10:29.1596838+08:00","during_workgraph","3.083","0","5","32836","1","1481","1","172","0","0","1","36","1","40","1","43","1","3","1","710","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","35"
"2026-05-28T21:10:29.2236834+08:00","during_workgraph","3.147","0","5","32836","1","1492","1","178","0","0","1","36","1","40","1","43","1","4","1","711","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","35"
"2026-05-28T21:10:29.2876829+08:00","during_workgraph","3.211","0","5","32836","1","1518","1","183","0","0","1","36","1","40","1","47","1","4","1","713","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","36"
"2026-05-28T21:10:29.3516859+08:00","during_workgraph","3.275","0","5","32836","1","1499","1","179","0","0","1","36","1","38","1","44","1","4","1","711","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","36"
"2026-05-28T21:10:29.4136843+08:00","during_workgraph","3.337","0","5","32836","1","1500","1","176","0","0","1","37","1","40","1","42","1","3","1","709","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
"2026-05-28T21:10:29.4761901+08:00","during_workgraph","3.399","0","5","32836","1","1506","1","184","0","0","1","36","1","40","1","46","1","4","1","712","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","36"
"2026-05-28T21:10:29.5377594+08:00","during_workgraph","3.462","0","5","32836","1","1479","1","165","0","0","1","36","1","40","1","39","1","3","1","708","0","0","1","44","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","34"
"2026-05-28T21:10:29.6017593+08:00","during_workgraph","3.526","0","5","32836","1","1498","1","176","0","0","1","36","1","40","1","44","1","4","1","711","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","35"
"2026-05-28T21:10:29.6646717+08:00","during_workgraph","3.588","0","5","32836","1","1487","1","164","0","0","1","36","1","40","1","40","1","4","1","708","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","35"
"2026-05-28T21:10:29.7256755+08:00","during_workgraph","3.649","0","5","32836","1","1474","1","163","0","0","1","36","1","40","1","37","1","4","1","707","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","34"
