"c_workgroups","b_workgroups","rows","avg_ms","median_ms","min_ms","max_ms","edges","vertices"
"16","80","16","5.5736","5.5719","5.5377","5.6288","196608","393216"
"24","72","16","5.6612","5.6539","5.6168","5.7154","196608","393216"
"32","64","16","5.8931","5.895","5.8233","5.9436","196608","393216"
"38","58","16","6.094","6.0993","6.0475","6.1406","196608","393216"
"40","56","16","6.1705","6.1701","6.1152","6.2512","196608","393216"
"48","48","16","6.7081","6.6984","6.6561","6.7776","196608","393216"
"56","40","16","7.3633","7.3618","7.2847","7.4815","196608","393216"
"64","32","16","8.4154","8.4056","8.3507","8.4798","196608","393216"
